username,password,description,merchant,Amount=10+1,date,category
a1@gmail.com,a1,abc,startbuks,10,10/10/19,coffee
a2@gmail.com,a2,efg,ahold,11,10/10/19,coffee
a3@gmail.com,a3,hij,startbuks,12,10/10/19,coffee
a4@gmail.com,a4,klm,ahold,13,10/10/19,coffee
a5@gmail.com,a5,nop,startbuks,14,10/10/19,coffee
a6@gmail.com,a6,qrs,ahold,15,10/10/19,coffee
a7@gmail.com,a7,abc,startbuks,16,10/10/19,coffee
a8@gmail.com,a8,efg,ahold,17,10/10/19,coffee
a9@gmail.com,a9,hij,startbuks,18,10/10/19,coffee
a10@gmail.com,a10,klm,ahold,19,10/10/19,coffee
b1@gmail.com,b1,abc,startbuks,10,10/10/19,coffee
b2@gmail.com,b2,efg,ahold,11,10/10/19,coffee
b3@gmail.com,b2,hij,startbuks,12,10/10/19,coffee
b4@gmail.com,b4,klm,ahold,13,10/10/19,coffee
b5@gmail.com,b5,nop,startbuks,14,10/10/19,coffee
b6@gmail.com,b6,qrs,ahold,15,10/10/19,coffee
b7@gmail.com,b7,abc,startbuks,16,10/10/19,coffee
b8@gmail.com,b8,efg,ahold,17,10/10/19,coffee
b9@gmail.com,b9,hij,startbuks,18,10/10/19,coffee
b10@gmail.com,b10,klm,ahold,19,10/10/19,coffee
c1@gmail.com,c1,abc,startbuks,10,10/10/19,coffee
c2@gmail.com,c2,efg,ahold,11,10/10/19,coffee
c3@gmail.com,c3,hij,startbuks,12,10/10/19,coffee
c4@gmail.com,c4,klm,ahold,13,10/10/19,coffee
c5@gmail.com,c5,nop,startbuks,14,10/10/19,coffee
c6@gmail.com,c6,qrs,ahold,15,10/10/19,coffee
c7@gmail.com,c7,abc,startbuks,16,10/10/19,coffee
c8@gmail.com,c8,efg,ahold,17,10/10/19,coffee
c9@gmail.com,c9,hij,startbuks,18,10/10/19,coffee
c10@gmail.com,c10,klm,ahold,19,10/10/19,coffee
d1@gmail.com,d1,abc,startbuks,10,10/10/19,coffee
d2@gmail.com,d2,efg,ahold,11,10/10/19,coffee
d3@gmail.com,d3,hij,startbuks,12,10/10/19,coffee
d4@gmail.com,d4,klm,ahold,13,10/10/19,coffee
d5@gmail.com,d5,nop,startbuks,14,10/10/19,coffee
d6@gmail.com,d6,qrs,ahold,15,10/10/19,coffee
d7@gmail.com,d7,abc,startbuks,16,10/10/19,coffee
d8@gmail.com,d8,efg,ahold,17,10/10/19,coffee
d9@gmail.com,d9,hij,startbuks,18,10/10/19,coffee
d10@gmail.com,d10,klm,ahold,19,10/10/19,coffee
e1@gmail.com,e1,abc,startbuks,10,10/10/19,coffee
e2@gmail.com,e2,efg,ahold,11,10/10/19,coffee
e3@gmail.com,e3,hij,startbuks,12,10/10/19,coffee
e4@gmail.com,e4,klm,ahold,13,10/10/19,coffee
e5@gmail.com,e5,nop,startbuks,14,10/10/19,coffee
e6@gmail.com,e6,qrs,ahold,15,10/10/19,coffee
e7@gmail.com,e7,abc,startbuks,16,10/10/19,coffee
e8@gmail.com,e8,efg,ahold,17,10/10/19,coffee
e9@gmail.com,e9,hij,startbuks,18,10/10/19,coffee
e10@gmail.com,e10,klm,ahold,19,10/10/19,coffee
